,model,graph,n,p,pr,eps,gam,max_it,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr,avg_nit,std_nit
43,triangles rewiring,er,250,0.1,0.2,0.4,1.2,100000,1.0,0.0,1.0,0.0,1.137969888900344,0.2639275028105086,0.4880788504525368,1.0788905925643036e-06,0.4880788239453639,0.0,0.0,0.0,105.8,47.80543902109884
44,triangles rewiring,er,250,0.1,0.2,0.4,1.6,100000,1.0,0.0,1.0,0.0,1.1416229892982843,0.2672868736357276,0.5131050447293072,8.338846999373609e-07,0.5131050608257879,0.0,0.0,0.0,580.8,614.5266145579051
45,triangles rewiring,er,250,0.1,0.3,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.4241386421488094,0.41212093503647534,0.4647690979274707,1.2824668490053369e-06,0.4647692540356493,0.0,0.0,0.0,16.2,1.7204650534085253
46,triangles rewiring,er,250,0.1,0.3,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.0694662412692941,0.13893248253858753,0.44489247335347226,6.13263280762453e-07,0.4448925172048683,0.0,0.0,0.0,49.8,44.27369422128675
47,triangles rewiring,er,250,0.1,0.3,0.2,0.8,100000,1.6995000921455126,0.3571685683179901,1.6995000921455126,0.3571685683179901,1.6995000921455126,0.3571685683179901,0.4816135518401736,0.17181123963111472,0.5560537920080176,0.526453585540659,0.2640355577014414,0.2293101268910625,80022.8,39952.399999999994
48,triangles rewiring,er,250,0.1,0.3,0.2,1.2,100000,1.9248878874294484,0.06371436604967214,1.9248878874294484,0.06371436604967214,1.9248878874294484,0.06371436604967214,0.4203497257610316,0.20612749536872688,0.3571514234299694,0.6728222316277848,0.017558032898201164,0.29306467948403675,99999.0,0.0
49,triangles rewiring,er,250,0.1,0.3,0.2,1.6,100000,1.8361688082202487,0.2201168246095772,1.8361688082202487,0.2201168246095772,1.8361688082202487,0.2201168246095772,0.517391312116309,0.2198183338852704,0.6069399820245753,0.6350159874032848,0.08819323567735947,0.2765972170172529,99999.0,0.0
50,triangles rewiring,er,250,0.1,0.3,0.3,0.0,100000,1.0,0.0,1.0,0.0,1.262346646624645,0.3757780985344023,0.5740921629006891,1.759874829225835e-06,0.5740922026384817,0.0,0.0,0.0,15.8,1.469693845669907
51,triangles rewiring,er,250,0.1,0.3,0.3,0.4,100000,1.0,0.0,1.0,0.0,1.218256047672993,0.25792010927575243,0.5583691458501262,1.198524508833818e-06,0.5583691252311738,0.0,0.0,0.0,27.8,7.704544113703289
52,triangles rewiring,er,250,0.1,0.3,0.3,0.8,100000,1.3819456381590824,0.4679631359284063,1.3819456381590824,0.4679631359284063,1.3884096209609302,0.4627535160391322,0.4211765721245939,0.09455994614584416,0.419379215924092,0.2725968691265626,0.33387889063420223,0.11873643634760793,57271.6,46924.557713845315
53,triangles rewiring,er,250,0.1,0.3,0.3,1.2,100000,1.527278015952712,0.4375997461381764,1.527278015952712,0.4375997461381764,1.5522525250721548,0.4082575493764609,0.4198020065859218,0.1209988166978844,0.4743624737532299,0.39518213513047945,0.3234828199015673,0.17213153835544073,60106.4,48858.38622631739
54,triangles rewiring,er,250,0.1,0.3,0.3,1.6,100000,1.7037479885116675,0.3790206824943823,1.7037479885116675,0.3790206824943823,1.7238649146228178,0.341995538058077,0.4336571861529115,0.18234866126876773,0.5126192603826154,0.5245429447572835,0.2662370129048576,0.2284778991458015,80046.6,39904.8
55,triangles rewiring,er,250,0.1,0.3,0.4,0.0,100000,1.0,0.0,1.0,0.0,1.0080831796786445,0.010230598178696107,0.4674011945337225,9.334582721538609e-07,0.4674011799278445,0.0,0.0,0.0,16.8,0.9797958971132713
56,triangles rewiring,er,250,0.1,0.3,0.4,0.4,100000,1.0,0.0,1.0,0.0,1.1334796343766385,0.15726639423685493,0.5201791724906449,1.1522248607840223e-06,0.5201793454974328,0.0,0.0,0.0,23.6,2.154065922853802
57,triangles rewiring,er,250,0.1,0.3,0.4,0.8,100000,1.0,0.0,1.0,0.0,1.1185274484219208,0.2330596589585076,0.5154135145272474,5.828730359081253e-07,0.5154135380743333,0.0,0.0,0.0,5636.6,11005.55344542018
58,triangles rewiring,er,250,0.1,0.3,0.4,1.2,100000,1.001606399793555,0.0032127995871101154,1.001606399793555,0.0032127995871101154,1.02474652728932,0.03155936287603104,0.5147094866418734,0.001789826245643071,0.5145959879492821,0.0052155665966795075,0.010431133193359015,0.002271771474146408,374.4,311.48457425689634
59,triangles rewiring,er,250,0.1,0.3,0.4,1.6,100000,1.0,0.0,1.001606399793555,0.0032127995871101154,1.0147258795559757,0.021718856464318696,0.4986158574032715,0.0002590900213797845,0.4986323007514691,0.0052155665966795075,0.010431133193359015,0.002271771474146408,429.2,239.90281365586358
60,triangles rewiring,er,250,0.1,0.4,0.2,0.0,100000,1.0,0.0,1.0,0.0,1.0300043273718928,0.04144853456688278,0.5503698020388125,1.1399029339153464e-06,0.5503698519564424,0.0,0.0,0.0,16.0,0.6324555320336759
61,triangles rewiring,er,250,0.1,0.4,0.2,0.4,100000,1.0,0.0,1.0,0.0,1.041207322661857,0.07058826609260631,0.5226386047848989,1.016292242071556e-06,0.5226385465862207,0.0,0.0,0.0,26.8,6.368673331236264
62,triangles rewiring,er,250,0.1,0.4,0.2,0.8,100000,1.6893405276520281,0.35669960620392377,1.6893405276520281,0.35669960620392377,1.6893405276520281,0.35669960620392377,0.524774861097252,0.19152307034026408,0.4397882082989744,0.5226805159482252,0.2629957065423551,0.22766667134099486,80072.8,39852.399999999994
63,triangles rewiring,er,250,0.1,0.4,0.2,1.2,100000,1.9536791328298064,0.035072423900275124,1.9536791328298064,0.035072423900275124,1.9536791328298064,0.035072423900275124,0.4618406502255164,0.2452895114732344,0.3174283696504815,0.6810506039600988,0.009228563236824028,0.2966487544252152,99999.0,0.0
64,triangles rewiring,er,250,0.1,0.4,0.2,1.6,100000,1.7079993386590795,0.36190907242720216,1.7079993386590795,0.36190907242720216,1.7079993386590795,0.36190907242720216,0.4398912892273711,0.15353359618949108,0.3786326628845805,0.5288260014927539,0.2653128095015749,0.2303434924487395,90029.6,19938.8
