,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
68,triangles rewiring,ba,100,5,0.1,0.3,1.2,100000,21864.3,33868.358380795486,10,2472.0,4070.432593717773,1.0,0.0,0.5023889665693712,9.186582096672552e-07,0.5023888249004347,0.0,0.0,0.0
69,triangles rewiring,ba,100,5,0.1,0.3,1.6,100000,20388.3,39808.847222822216,10,450.75,408.0547604182556,1.0040415898393222,0.0082865564606948,0.5152577658785036,0.009025059108136,0.5154634376127476,0.011159631803189211,0.02269562237000964,0.004873602353610754
70,triangles rewiring,ba,100,5,0.1,0.4,0.0,100000,25.2,1.5362291495737217,10,25.25,0.4330127018922193,1.0,0.0,0.5111886432484182,1.934717823455021e-06,0.5111887511361278,0.0,0.0,0.0
71,triangles rewiring,ba,100,5,0.1,0.4,0.4,100000,38.7,2.7946377224964243,10,37.833333333333336,0.8975274678557507,1.0,0.0,0.4910433829504111,1.8510116944048549e-06,0.491043280226369,0.0,0.0,0.0
72,triangles rewiring,ba,100,5,0.1,0.4,0.8,100000,65.6,22.33472632471685,10,60.25,0.4330127018922193,1.0,0.0,0.5005353793453752,1.5825743604448402e-06,0.5005355220305236,0.0,0.0,0.0
73,triangles rewiring,ba,100,5,0.1,0.4,1.2,100000,92.3,23.203663503852148,10,92.25,6.2599920127744575,1.0,0.0,0.4838553321102558,1.349792828931977e-06,0.4838554051583683,0.0,0.0,0.0
74,triangles rewiring,ba,100,5,0.1,0.4,1.6,100000,121.8,33.180717291824784,10,118.75,3.112474899497183,1.0,0.0,0.4984019548876383,1.3869867473442616e-06,0.4984018947979716,0.0,0.0,0.0
75,triangles rewiring,ba,100,5,0.0,0.2,0.0,100000,25.3,1.7349351572897471,10,25.0,0.0,1.0,0.0,0.4138451675828036,1.708731320325968e-06,0.4138452444325632,0.0,0.0,0.0
76,triangles rewiring,ba,100,5,0.0,0.2,0.4,100000,182.4,180.15282401339147,10,89.75,10.985786271359917,1.0,0.0,0.5521966473869824,2.921910696432776e-07,0.5521966845300526,0.0,0.0,0.0
77,triangles rewiring,ba,100,5,0.0,0.2,0.8,100000,921.6,545.6182181709112,10,828.75,100.00593732374094,1.0,0.0,0.4908410743016526,6.06633066979326e-08,0.4908410847082453,0.0,0.0,0.0
78,triangles rewiring,ba,100,5,0.0,0.2,1.2,100000,22424.6,36040.91631243579,10,972.5,811.1712211364503,1.0008031998967777,0.0024095996903325,0.5132036486949353,0.0025293653083665,0.5133639087439501,0.0026077832983397537,0.007823349895019262,0.0011388636331947225
79,triangles rewiring,ba,100,5,0.0,0.2,1.6,100000,40247.7,48787.54439823754,10,57443.857142857145,49138.85931703739,1.0040223980255083,0.0054023514370457,0.3353179476710015,0.0122769922957438,0.3344537007271173,0.012482792317229718,0.016288030720650305,0.00545144921353939
80,triangles rewiring,ba,100,5,0.0,0.3,0.0,100000,26.0,1.4142135623730951,10,26.0,0.816496580927726,1.0,0.0,0.4160511472417349,1.786789209819458e-06,0.4160511743613224,0.0,0.0,0.0
81,triangles rewiring,ba,100,5,0.0,0.3,0.4,100000,43.2,14.012851244482688,10,38.25,1.6393596310755,1.0,0.0,0.4926737271478239,1.785212848793725e-06,0.4926737874635924,0.0,0.0,0.0
82,triangles rewiring,ba,100,5,0.0,0.3,0.8,100000,209.8,287.2527806653923,10,92.25,18.91262805640718,1.0,0.0,0.5004346798725008,1.0800773529401685e-06,0.5004347825440263,0.0,0.0,0.0
83,triangles rewiring,ba,100,5,0.0,0.3,1.2,100000,8162.4,21569.63862562375,10,106.0,9.72111104761179,1.0,0.0,0.520943453388492,9.766671938769165e-07,0.5209435808740817,0.0,0.0,0.0
84,triangles rewiring,ba,100,5,0.0,0.3,1.6,100000,10326.2,29893.71953370808,10,174.25,5.7608593109014565,1.0008031998967777,0.0024095996903325,0.3997670567331021,0.0025247540677111,0.399607201648566,0.0026077832983397537,0.007823349895019262,0.0011388636331947225
85,triangles rewiring,ba,100,5,0.0,0.4,0.0,100000,25.6,2.615339366124404,10,25.25,1.0897247358851685,1.0,0.0,0.5098489349709476,1.606403758498148e-06,0.5098489545866352,0.0,0.0,0.0
86,triangles rewiring,ba,100,5,0.0,0.4,0.4,100000,39.2,3.5156791662493894,10,38.75,1.0897247358851685,1.0,0.0,0.4950022350338422,1.4710452402633385e-06,0.4950022321126388,0.0,0.0,0.0
87,triangles rewiring,ba,100,5,0.0,0.4,0.8,100000,67.7,17.464535493393463,10,67.8,5.15363949069005,1.0,0.0,0.4969378238716603,1.5827799670807305e-06,0.4969378048525672,0.0,0.0,0.0
88,triangles rewiring,ba,100,5,0.0,0.4,1.2,100000,108.1,30.82352997305792,10,109.75,6.057020719792859,1.0,0.0,0.4972858267365545,1.7282144230468896e-06,0.497285896300599,0.0,0.0,0.0
89,triangles rewiring,ba,100,5,0.0,0.4,1.6,100000,10089.6,29969.804397760086,10,102.6,1.624807680927192,1.0008031998967777,0.0024095996903325,0.4594181073781981,0.0030530069745176,0.4592246463690112,0.0026077832983397537,0.007823349895019262,0.0011388636331947225
