,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
32,triangles rewiring,er,100,0.1,0.8,0.35,0.0,1000000,21.033333333333328,1.4940623220676648,30,21.19047619047619,0.7939681905015745,1.0188532952458682,0.0050387551015523505,0.4900530212949279,0.025641683746441248,0.4900176047977131,0.04853466310753438,0.01903686109776689,0.021144638944258068
33,triangles rewiring,er,100,0.1,0.8,0.35,0.5,1000000,97.43333333333334,145.47615688566358,30,41.642857142857146,3.3081531934026884,1.0201999591920017,0.0,0.4757189373754509,0.0292784416905484,0.4754244298456909,0.05413481654301912,0.010052583065108594,0.023584404976287845
34,triangles rewiring,er,100,0.1,0.8,0.35,1.0,1000000,1544.4333333333334,6507.246297696814,30,98.71428571428572,22.416284168397922,1.019526627218935,0.003626003644877353,0.461970175320982,0.02623690250451886,0.4623720764517514,0.04853466310753439,0.01903686109776689,0.02114463894425807
35,triangles rewiring,er,100,0.1,0.8,0.35,1.5,1000000,9458.333333333334,31580.986073198463,30,223.92857142857144,27.5330043135618,1.0230031429903623,0.010488553365620854,0.4816604398027156,0.027390102852778136,0.4814366215213935,0.05040138091936263,0.016800460306454202,0.021957894288267995
36,triangles rewiring,er,100,0.1,0.9,0.35,0.0,1000000,22.5,2.3345235059857505,30,21.9375,0.899218410621135,1.0201999591920017,0.0,0.4882729835991387,0.028809877297389493,0.4873729808841893,0.05040138091936264,0.016800460306454202,0.021957894288268
37,triangles rewiring,er,100,0.1,0.9,0.35,0.5,1000000,65.6,103.12277472346571,30,37.625,2.3418742493993987,1.0201999591920017,0.0,0.4958487041911661,0.024968928808250305,0.4958609360335768,0.05226809873119087,0.013969236979299282,0.02277114963227792
38,triangles rewiring,er,100,0.1,0.9,0.35,1.0,1000000,1427.533333333333,4049.377999424383,30,214.64285714285717,176.26465780705087,1.0292202572557854,0.01031510547211641,0.5406521920291525,0.03289688693300605,0.5411456648091199,0.07137529557267612,0.034517256280817636,0.031095401879685722
39,triangles rewiring,er,100,0.1,0.9,0.35,1.5,1000000,121155.2,313915.5742887356,30,195.5,74.74408720045066,1.0322029566642408,0.023833229574116148,0.5408488481597529,0.03611495990264384,0.5419657405954791,0.0764009710979727,0.05028696317666184,0.03328489053850149
40,triangles rewiring,er,100,0.1,1.0,0.35,0.0,1000000,26.066666666666666,12.044177938830952,30,22.625,1.2183492931011204,1.0141665991346962,0.011895443572055265,0.492957798278502,0.017221517926230376,0.4927367775327542,0.03640342587456739,0.03143554389792598,0.01585953722901803
41,triangles rewiring,er,100,0.1,1.0,0.35,0.5,1000000,58.46666666666667,71.74665303846739,30,37.642857142857146,1.7157731642091882,1.0201999591920017,0.0,0.4753739840949219,0.025139751848472225,0.475031103459931,0.05040138091936263,0.016800460306454202,0.021957894288267995
42,triangles rewiring,er,100,0.1,1.0,0.35,1.0,1000000,277.46666666666664,582.1558630546366,30,107.92857142857143,42.55998168251869,1.019526627218935,0.003626003644877353,0.5252374659543565,0.023669239123665708,0.5246674153132008,0.048534663107534376,0.01903686109776689,0.021144638944258064
43,triangles rewiring,er,100,0.1,1.0,0.35,1.5,1000000,43579.566666666666,185653.17606075466,30,179.35714285714286,49.94512294631428,1.0230582942542517,0.015392605384227044,0.4925373103189956,0.029614389278321933,0.4916172913309676,0.05785255973678869,0.033782213812396863,0.025204079091374617
