,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
62,rewiring,er,250,0.1,0.4,0.2,0.8,100000,30842.6,9470.632219656722,1.9548100964391868,0.089741281452312,1.9549666381618924,0.08985817928380943,1.9549666381618924,0.08985817928380943,0.4987082616324511,0.23602314952798306,0.4917201394000198,0.7149186903609301,0.046125260290303956,0.3114008530022555
63,rewiring,er,250,0.1,0.4,0.2,1.2,100000,85736.4,10045.433681031396,2.471022421740045,0.3505403189723102,2.5418415146119764,0.3777223143400504,2.5958526559086605,0.3848075048027715,0.5087099735488777,0.2505332542050459,0.6253377889701077,0.9956235251088813,0.13299827952566654,0.4336689181136026
64,rewiring,er,250,0.1,0.4,0.2,1.6,100000,33718.6,35512.0880636439,9.358649426371418,0.3121165423667971,53.16705771315746,6.735408769372678,147.08143870470218,25.83242504882552,0.4989552983954548,0.2871768924199332,0.4978824251678271,2.279625725686294,0.008097918106776606,0.9929484360609073
65,rewiring,er,250,0.1,0.4,0.3,0.0,100000,269.6,151.1113496730143,1.2126325488164975,0.3847458883929565,1.2126325488164975,0.3847458883929565,1.2126464210537231,0.3847397012974234,0.4987835863511194,0.07293614730255908,0.4593593382454941,0.18496543057329867,0.25380471141464833,0.08056635479396385
66,rewiring,er,250,0.1,0.4,0.3,0.4,100000,6126.8,8105.939708633417,1.1987102979450084,0.373247992578,1.1987169062627878,0.3732447601966768,1.396654000366952,0.4662200445646089,0.5092917621289159,0.06335255699695441,0.4734569330988485,0.16596833285940787,0.2572462920427826,0.07229169011889959
67,rewiring,er,250,0.1,0.4,0.3,0.8,100000,22316.2,33406.383937205785,1.2279886828345197,0.3823210400624139,1.228097489846277,0.3822851618702652,1.2282053369545252,0.3822483416336799,0.4912240722335933,0.07646495007594034,0.53060550616136,0.21483391732748197,0.2478842517486299,0.09357632694680204
68,rewiring,er,250,0.1,0.4,0.3,1.2,100000,85796.4,10431.94109645947,1.8281561674838904,0.2884982312553714,1.8883716882790824,0.26190585136474803,2.6261052189255296,1.1712894452868192,0.4957063463150901,0.19425123838762254,0.4903510012983167,0.6768181950566546,0.10580927886526495,0.2948052220619454
69,rewiring,er,250,0.1,0.4,0.3,1.6,100000,33697.2,35041.689738938105,9.196124729493828,0.4156692540398503,51.59470777904588,4.697407297061376,144.16534922600218,29.830616149769305,0.5047034731612807,0.2857218567369429,0.4938657261186809,2.2712060346871876,0.007167657771759293,0.9892810274527851
70,rewiring,er,250,0.1,0.4,0.4,0.0,100000,288.0,79.01392282376568,1.017818795906537,0.009541191375611857,1.019464639620683,0.008358913199930271,1.019464639620683,0.008358913199930271,0.4956205346528721,0.041012766662501324,0.4950506585512693,0.05206570009679014,0.02464309258896944,0.0226785278394592
71,rewiring,er,250,0.1,0.4,0.4,0.4,100000,3942.0,4103.216153214452,1.0211366870629337,0.011196239211591644,1.0211432953807134,0.011193290354094495,1.0277314334866308,0.011231513823349646,0.4989945083356073,0.042368638759370296,0.4978052219525021,0.06289928935316154,0.02844014648746807,0.027397370668714303
